Designator,Mid X,Mid Y,Rotation,Layer
A1,66.04,-75.438,180.0,bottom
C1,77.469837,-76.141957,270.0,bottom
C10,73.655,-140.7033,0.0,bottom
C2,77.469837,-87.571957,90.0,bottom
C3,77.469837,-120.698957,270.0,bottom
C4,77.469837,-104.041957,90.0,bottom
C5,77.469837,-81.856957,270.0,bottom
C6,73.659837,-100.144957,90.0,bottom
C7,58.658,-103.426957,0.0,bottom
C8,54.609837,-65.346957,270.0,bottom
C9,54.609837,-81.856957,270.0,bottom
D1,67.563837,-150.924957,270.0,bottom
D2,64.515837,-150.924957,270.0,bottom
D3,67.563837,-140.510957,270.0,bottom
D4,64.515837,-140.510957,270.0,bottom
D5,66.039837,-109.014957,180.0,bottom
D6,66.039837,-106.220957,180.0,bottom
D7,58.415,-132.0673,0.0,top
J1,73.66,-132.3594,270.0,top
J2,73.66,-149.1107,270.0,top
J3,58.415,-149.1234,270.0,top
PWR1,55.626,-116.761957,0.0,bottom
R1,77.469837,-67.866957,270.0,bottom
R10,54.61,-100.886957,270.0,bottom
R11,54.61,-73.581957,270.0,bottom
R2,77.469837,-95.806957,90.0,bottom
R3,73.659837,-112.316957,90.0,bottom
R4,77.469837,-112.316957,90.0,bottom
R5,67.563837,-129.842957,270.0,bottom
R6,64.515837,-129.842957,90.0,bottom
R7,77.469837,-57.071957,90.0,bottom
R8,54.61,-90.091957,90.0,bottom
R9,54.61,-57.404,270.0,bottom
RV1,66.035163,-60.428443,180.0,top
RV2,66.040163,-80.100743,180.0,top
RV3,66.04,-119.4181,180.0,top
RV4,66.040163,-99.760343,180.0,top
